をわり,1345,1345,10000,名詞,一般,*,*,*,*,をわり,ヲワリ,ヲワリ,0/3,*,を[わり
をわ,1345,1345,10000,名詞,一般,*,*,*,*,をわ,ヲワ,ヲワ,1/2,*,を]わ
をりえ,1345,1345,10000,名詞,一般,*,*,*,*,をりえ,ヲリエ,ヲリエ,1/3,*,を]りえ
をよし,1345,1345,10000,名詞,一般,*,*,*,*,をよし,ヲヨシ,ヲヨシ,0/3,*,を[よし
をもと,1345,1345,10000,名詞,一般,*,*,*,*,をもと,ヲモト,ヲモト,0/3,*,を[もと
をふさ,1345,1345,10000,名詞,一般,*,*,*,*,をふさ,ヲフサ,ヲフサ,0/3,*,を[ふさ
をの,1345,1345,10000,名詞,一般,*,*,*,*,をの,ヲノ,ヲノ,1/2,*,を]の
をね,1345,1345,10000,名詞,一般,*,*,*,*,をね,ヲネ,ヲネ,1/2,*,を]ね
をとや,1345,1345,10000,名詞,一般,*,*,*,*,をとや,ヲトヤ,ヲトヤ,0/3,*,を[とや
をとめ,1345,1345,10000,名詞,一般,*,*,*,*,をとめ,ヲトメ,ヲトメ,0/3,*,を[とめ
をてい,1345,1345,10000,名詞,一般,*,*,*,*,をてい,ヲテイ,ヲテイ,1/3,*,を]てい
をちま,1345,1345,10000,名詞,一般,*,*,*,*,をちま,ヲチマ,ヲチマ,1/3,*,を]ちま
をだまき,1345,1345,10000,名詞,一般,*,*,*,*,をだまき,ヲダマキ,ヲダマキ,0/4,*,を[だまき
をその,1345,1345,10000,名詞,一般,*,*,*,*,をその,ヲソノ,ヲソノ,0/3,*,を[その
をせん,1345,1345,10000,名詞,一般,*,*,*,*,をせん,ヲセン,ヲセン,0/3,*,を[せん
をさめ,1345,1345,10000,名詞,一般,*,*,*,*,をさめ,ヲサメ,ヲサメ,0/3,*,を[さめ
をさむ,1345,1345,10000,名詞,一般,*,*,*,*,をさむ,ヲサム,ヲサム,0/3,*,を[さむ
をさだ,1345,1345,10000,名詞,一般,*,*,*,*,をさだ,ヲサダ,ヲサダ,1/3,*,を]さだ
をけさ,1345,1345,10000,名詞,一般,*,*,*,*,をけさ,ヲケサ,ヲケサ,0/3,*,を[けさ
をき,1345,1345,10000,名詞,一般,*,*,*,*,をき,ヲキ,ヲキ,1/2,*,を]き
をうね,1345,1345,10000,名詞,一般,*,*,*,*,をうね,ヲウネ,ヲウネ,0/3,*,を[うね
をいき,1345,1345,10000,名詞,一般,*,*,*,*,をいき,ヲイキ,ヲイキ,0/3,*,を[いき
ゑん,1345,1345,10000,名詞,一般,*,*,*,*,ゑん,ヱン,ヱン,1/2,*,ゑ]ん
ゑりの,1345,1345,10000,名詞,一般,*,*,*,*,ゑりの,ヱリノ,ヱリノ,1/3,*,ゑ]りの
ゑみ,1345,1345,10000,名詞,一般,*,*,*,*,ゑみ,ヱミ,ヱミ,1/2,*,ゑ]み
ゑまひ,1345,1345,10000,名詞,一般,*,*,*,*,ゑまひ,ヱマヒ,ヱマヒ,1/3,*,ゑ]まひ
ゑふ,1345,1345,10000,名詞,一般,*,*,*,*,ゑふ,ヱフ,ヱフ,1/2,*,ゑ]ふ
ゑなよ,1345,1345,10000,名詞,一般,*,*,*,*,ゑなよ,ヱナヨ,ヱナヨ,1/3,*,ゑ]なよ
ゑと,1345,1345,10000,名詞,一般,*,*,*,*,ゑと,ヱト,ヱト,1/2,*,ゑ]と
ゑつ,1345,1345,10000,名詞,一般,*,*,*,*,ゑつ,ヱツ,ヱツ,1/2,*,ゑ]つ
ゑき,1345,1345,10000,名詞,一般,*,*,*,*,ゑき,ヱキ,ヱキ,1/2,*,ゑ]き
ゑい,1345,1345,10000,名詞,一般,*,*,*,*,ゑい,ヱイ,ヱイ,1/2,*,ゑ]い
ゑ,1345,1345,10000,名詞,一般,*,*,*,*,ゑ,ヱ,ヱ,1/1,*,ゑ]
ゐをり,1345,1345,10000,名詞,一般,*,*,*,*,ゐをり,ヰヲリ,ヰヲリ,0/3,*,ゐ[をり
ゐを,1345,1345,10000,名詞,一般,*,*,*,*,ゐを,ヰヲ,ヰヲ,1/2,*,ゐ]を
ゐよ,1345,1345,10000,名詞,一般,*,*,*,*,ゐよ,ヰヨ,ヰヨ,1/2,*,ゐ]よ
ゐね,1345,1345,10000,名詞,一般,*,*,*,*,ゐね,ヰネ,ヰネ,1/2,*,ゐ]ね
ゐと,1345,1345,10000,名詞,一般,*,*,*,*,ゐと,ヰト,ヰト,1/2,*,ゐ]と
ゐつ,1345,1345,10000,名詞,一般,*,*,*,*,ゐつ,ヰツ,ヰツ,1/2,*,ゐ]つ
ゐせ,1345,1345,10000,名詞,一般,*,*,*,*,ゐせ,ヰセ,ヰセ,1/2,*,ゐ]せ
ゐさを,1345,1345,10000,名詞,一般,*,*,*,*,ゐさを,ヰサヲ,ヰサヲ,1/3,*,ゐ]さを
ゐさお,1345,1345,10000,名詞,一般,*,*,*,*,ゐさお,ヰサオ,ヰサオ,1/3,*,ゐ]さお
ゐさ,1345,1345,10000,名詞,一般,*,*,*,*,ゐさ,ヰサ,ヰサ,1/2,*,ゐ]さ
ゐく,1345,1345,10000,名詞,一般,*,*,*,*,ゐく,ヰク,ヰク,1/2,*,ゐ]く
ゐおり,1345,1345,10000,名詞,一般,*,*,*,*,ゐおり,ヰオリ,ヰオリ,1/3,*,ゐ]おり
わんや,1345,1345,10000,名詞,一般,*,*,*,*,わんや,ワンヤ,ワンヤ,0/3,*,わ[んや
わを,1345,1345,10000,名詞,一般,*,*,*,*,わを,ワヲ,ワヲ,1/2,*,わ]を
わるつ,1345,1345,10000,名詞,一般,*,*,*,*,わるつ,ワルツ,ワルツ,1/3,*,わ]るつ
わりさや,1345,1345,10000,名詞,一般,*,*,*,*,わりさや,ワリサヤ,ワリサヤ,0/4,*,わ[りさや
わらび,1345,1345,10000,名詞,一般,*,*,*,*,わらび,ワラビ,ワラビ,1/3,*,わ]らび
わみ,1345,1345,10000,名詞,一般,*,*,*,*,わみ,ワミ,ワミ,1/2,*,わ]み
わぴこ,1345,1345,10000,名詞,一般,*,*,*,*,わぴこ,ワピコ,ワピコ,0/3,*,わ[ぴこ
